bi_rate,inflation,horizon
0.0,1.0,0
0.003516470592070303,0.09572238258256931,1
0.04758475842750244,-0.034066395426086915,2
0.03480845518305506,0.30075756879914317,3
0.02476693783684018,0.0601106577387395,4
0.03277095138818148,-0.02983670956881353,5
0.025378723058405005,0.07853776252965607,6
0.01758755827177462,0.02149640805622504,7
0.016968181455152935,-0.018742172161064444,8
0.013152701434706399,0.015100819009831656,9
0.008911182614680739,0.004584202740636886,10
0.007472269963033066,-0.0102327530081957,11
0.005670085339253186,0.000163864033826244,12
