year,month,bi_rate,inflation,period
2016,4,5.5,3.6,2016-04
2016,5,5.5,3.33,2016-05
2016,6,5.25,3.45,2016-06
2016,7,5.25,3.21,2016-07
2016,8,5.25,2.79,2016-08
2016,9,5.0,3.07,2016-09
2016,10,4.75,3.31,2016-10
2016,11,4.75,3.58,2016-11
2016,12,4.75,3.02,2016-12
2017,1,4.75,3.49,2017-01
2017,2,4.75,3.83,2017-02
2017,3,4.75,3.61,2017-03
2017,4,4.75,4.17,2017-04
2017,5,4.75,4.33,2017-05
2017,6,4.75,4.37,2017-06
2017,7,4.75,3.88,2017-07
2017,8,4.5,3.82,2017-08
2017,9,4.25,3.72,2017-09
2017,10,4.25,3.58,2017-10
2017,11,4.25,3.3,2017-11
2017,12,4.25,3.61,2017-12
2018,1,4.25,3.25,2018-01
2018,2,4.25,3.18,2018-02
2018,3,4.25,3.4,2018-03
2018,4,4.25,3.41,2018-04
2018,5,4.75,3.23,2018-05
2018,5,4.5,3.23,2018-05
2018,6,5.25,3.12,2018-06
2018,7,5.25,3.18,2018-07
2018,8,5.5,3.2,2018-08
2018,9,5.75,2.88,2018-09
2018,10,5.75,3.16,2018-10
2018,11,6.0,3.23,2018-11
2018,12,6.0,3.13,2018-12
2019,1,6.0,2.82,2019-01
2019,2,6.0,2.57,2019-02
2019,3,6.0,2.48,2019-03
2019,4,6.0,2.83,2019-04
2019,5,6.0,3.32,2019-05
2019,6,6.0,3.28,2019-06
2019,7,5.75,3.32,2019-07
2019,8,5.5,3.49,2019-08
2019,9,5.25,3.39,2019-09
2019,10,5.0,3.13,2019-10
2019,11,5.0,3.0,2019-11
2019,12,5.0,2.72,2019-12
2020,1,5.0,2.68,2020-01
2020,2,4.75,2.98,2020-02
2020,3,4.5,2.96,2020-03
2020,4,4.5,2.67,2020-04
2020,5,4.5,2.19,2020-05
2020,6,4.25,1.96,2020-06
2020,7,4.0,1.54,2020-07
2020,8,4.0,1.32,2020-08
2020,9,4.0,1.42,2020-09
2020,10,4.0,1.44,2020-10
2020,11,3.75,1.59,2020-11
2020,12,3.75,1.68,2020-12
2021,1,3.75,1.55,2021-01
2021,2,3.5,1.38,2021-02
2021,3,3.5,1.37,2021-03
2021,4,3.5,1.42,2021-04
2021,5,3.5,1.68,2021-05
2021,6,3.5,1.33,2021-06
2021,7,3.5,1.52,2021-07
2021,8,3.5,1.59,2021-08
2021,9,3.5,1.6,2021-09
2021,10,3.5,1.66,2021-10
2021,11,3.5,1.75,2021-11
2021,12,3.5,1.87,2021-12
2022,1,3.5,2.18,2022-01
2022,2,3.5,2.06,2022-02
2022,3,3.5,2.64,2022-03
2022,4,3.5,3.47,2022-04
2022,5,3.5,3.55,2022-05
2022,6,3.5,4.35,2022-06
2022,7,3.5,4.94,2022-07
2022,8,3.75,4.69,2022-08
2022,9,4.25,5.95,2022-09
2022,10,4.75,5.71,2022-10
2022,11,5.25,5.42,2022-11
2022,12,5.5,5.51,2022-12
2023,1,5.75,5.28,2023-01
2023,2,5.75,5.47,2023-02
2023,3,5.75,4.97,2023-03
2023,4,5.75,4.33,2023-04
2023,5,5.75,4.0,2023-05
2023,6,5.75,3.52,2023-06
2023,7,5.75,3.08,2023-07
2023,8,5.75,3.27,2023-08
2023,9,5.75,2.28,2023-09
2023,10,6.0,2.56,2023-10
2023,11,6.0,2.86,2023-11
2023,12,6.0,2.61,2023-12
2024,1,6.0,2.57,2024-01
2024,2,6.0,2.75,2024-02
2024,3,6.0,3.05,2024-03
2024,4,6.25,3.0,2024-04
2024,5,6.25,2.84,2024-05
2024,6,6.25,2.51,2024-06
2024,7,6.25,2.13,2024-07
2024,8,6.25,2.12,2024-08
2024,9,6.0,1.84,2024-09
2024,10,6.0,1.71,2024-10
2024,11,6.0,1.55,2024-11
2024,12,6.0,1.57,2024-12
2025,1,5.75,0.76,2025-01
2025,2,5.75,-0.09,2025-02
2025,3,5.75,1.03,2025-03
2025,4,5.75,1.95,2025-04
2025,5,5.5,1.6,2025-05
2025,6,5.5,1.87,2025-06
2025,7,5.25,2.37,2025-07
2025,8,5.0,2.31,2025-08
2025,9,4.75,2.65,2025-09
2025,10,4.75,2.86,2025-10
2025,11,4.75,2.72,2025-11
2025,12,4.75,2.92,2025-12
